Nodes	Energy (mJ)
2.0	2372.97722243
3.0	906.492720577
4.0	942.161503807
5.0	1439.89543003
6.0	697.373223376
7.0	2178.31215614
8.0	695.852469352
9.0	898.36330892
10.0	2355.27064142
11.0	1632.22470629
12.0	1797.03405894
13.0	1883.04584012
14.0	635.365091319
15.0	1570.99378976
16.0	1380.29939282
17.0	2130.38402919
18.0	1190.04180047
19.0	2345.16280548
20.0	1715.61711121
21.0	1278.44488156
22.0	1932.99482978
23.0	751.029727609
24.0	1931.91831834
25.0	2448.45460287
26.0	1749.99402997
27.0	1277.59026186
28.0	647.694179821
29.0	1559.68215151
30.0	2485.994837
31.0	1102.31924239
32.0	949.590761901
33.0	844.414844102
34.0	1356.94612882
35.0	741.109283673
36.0	1839.79019343
37.0	869.242881067
38.0	1783.67330999
39.0	774.115041816
40.0	2164.87937832
41.0	2448.06334127
