Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,      16,       0,     199,       0,      32
       2,      23,       0,       4,       0,       1
       3,      23,       0,       3,       0,       0
       4,      23,       0,       5,       0,       0
       5,      23,       0,       2,       0,       1
       6,      23,       0,       2,       0,       0
       7,      23,       0,       1,       0,       0
       8,      23,       0,       2,       0,       0
       9,      23,       0,       1,       0,       0
      10,      23,       0,       1,       0,       1
      11,      23,       0,       1,       0,       0
