Nodes	Energy (mJ)
2.0	1440.06926991
3.0	1914.36503779
4.0	1388.82687052
5.0	1370.85158414
6.0	2312.08126965
7.0	1003.51570733
8.0	697.851300523
9.0	1908.82574665
10.0	2215.44912463
11.0	1568.61658378
12.0	929.976691847
13.0	1474.94777412
14.0	1071.33413277
15.0	2153.70451153
16.0	2251.16213047
17.0	1328.79819666
18.0	825.052560664
19.0	1580.06134888
20.0	1314.6566034
21.0	1835.61549914
22.0	932.057999736
23.0	2488.75402259
24.0	652.688387621
25.0	1199.17894805
26.0	1775.25647464
27.0	1584.44813318
28.0	1562.00951412
29.0	1010.90752957
30.0	1287.90695748
31.0	1908.16314243
