Nodes	Energy(mJ)	Total(mJ)	Received	Lost
      6	     25	     61	     87	     12
     11	     54	    136	    199	     32
     16	     85	    217	    313	     63
     21	    116	    298	    438	     83
     26	    159	    412	    605	    121
     31	    203	    526	    770	    161
     36	    235	    612	    900	    186
     41	    269	    700	   1046	    195
     46	    301	    786	   1177	    219
