Nodes	Energy (mJ)
2.0	2391.45659097
3.0	1388.76882086
4.0	1468.16456966
5.0	2018.36962085
6.0	1321.1040245
7.0	1710.85701296
8.0	1460.69214482
9.0	565.374417415
10.0	1327.10034234
11.0	1785.30126566
12.0	2364.89523653
13.0	1984.52802855
14.0	1872.66120613
15.0	1145.48736903
16.0	1147.32737612
17.0	2195.95409438
18.0	1738.85223261
19.0	1666.17603501
20.0	765.855262816
21.0	2040.75832828
22.0	2425.85760051
23.0	2110.83577741
24.0	2161.7771204
25.0	1755.7769074
26.0	1718.19806821
27.0	1322.01826202
28.0	2043.47156243
29.0	542.808338981
30.0	1001.59495935
31.0	1117.4584974
32.0	654.470689085
33.0	1872.30961842
34.0	882.679789585
35.0	790.594137499
36.0	1180.94088042
