Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,      16,       0,     313,       0,      63
       2,      25,       0,       4,       0,       1
       3,      25,       0,       3,       0,       2
       4,      25,       0,       2,       0,       0
       5,      25,       0,       1,       0,       0
       6,      25,       0,       2,       0,       0
       7,      25,       0,       1,       0,       0
       8,      25,       0,       1,       0,       1
       9,      25,       0,       1,       0,       0
      10,      25,       0,       1,       0,       1
      11,      25,       0,       1,       0,       0
      12,      25,       0,       2,       0,       0
      13,      25,       0,       0,       0,       1
      14,      25,       0,       1,       0,       1
      15,      25,       0,       0,       0,       1
      16,      25,       0,       2,       0,       0
