Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     453,       0,     169
       2,       0,      16,       0,       1,       0
       3,       0,      16,       0,       1,       0
       4,      16,       0,       1,       0,       0
       5,       7,       9,       0,       1,       0
       6,      16,       0,       1,       0,       0
       7,      16,       0,       1,       0,       0
       8,       0,      16,       0,       1,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       1,       0,       0
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       0,       0,       1
      15,      16,       0,       0,       0,       1
      16,      16,       0,       0,       0,       1
      17,       0,      16,       0,       1,       0
      18,      16,       0,       1,       0,       0
      19,       0,      16,       0,       1,       0
      20,       0,      16,       0,       1,       0
      21,      16,       0,       0,       0,       1
      22,      16,       0,       1,       0,       0
      23,      16,       0,       0,       0,       1
      24,      16,       0,       0,       0,       1
      25,       0,      16,       0,       1,       0
      26,      16,       0,       0,       0,       1
      27,      16,       0,       1,       0,       0
      28,      16,       0,       0,       0,       1
      29,      16,       0,       0,       0,       1
      30,      16,       0,       0,       0,       1
      31,       0,      16,       0,       1,       0
      32,       0,      16,       0,       1,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       0,       0,       1
      35,       0,      16,       0,       1,       0
      36,      16,       0,       0,       0,       1
      37,      16,       0,       1,       0,       0
      38,       0,      16,       0,       1,       0
      39,      16,       0,       1,       0,       0
      40,      16,       0,       0,       0,       1
      41,      16,       0,       1,       0,       0
      42,       0,      16,       0,       1,       0
      43,       0,      16,       0,       1,       0
      44,      16,       0,       0,       0,       1
      45,       0,      16,       0,       1,       0
      46,      16,       0,       1,       0,       0
      47,      16,       0,       1,       0,       0
      48,      16,       0,       0,       0,       1
      49,      16,       0,       1,       0,       0
      50,      16,       0,       1,       0,       0
      51,      16,       0,       0,       0,       1
      52,       0,      16,       0,       1,       0
      53,      16,       0,       1,       0,       0
      54,      16,       0,       1,       0,       0
      55,      16,       0,       1,       0,       0
      56,      16,       0,       1,       0,       0
