Node	distance(m)	dbm	displacement
    1.0	   82.9	  -48.4	    0.0
    2.0	  111.4	  -51.9	  128.4
    3.0	  208.9	  -62.8	   80.4
    4.0	  232.7	  -64.7	    4.3
    6.0	  144.8	  -56.4	  103.2
    7.0	  286.0	  -68.3	   39.2
    8.0	  132.2	  -54.8	  123.7
    9.0	  240.6	  -65.3	   73.9
   10.0	  160.6	  -58.2	  148.9
   11.0	  143.0	  -56.2	  161.1
   12.0	  137.1	  -55.5	   89.8
   13.0	  298.1	  -69.0	   42.4
   15.0	  232.5	  -64.7	   55.6
   17.0	  117.9	  -52.9	  113.6
   18.0	  160.8	  -58.3	   61.8
   19.0	  124.3	  -53.8	   39.4
   20.0	  161.8	  -58.4	   83.3
   21.0	  210.6	  -62.9	   17.3
   22.0	  297.2	  -68.9	   58.5
   23.0	  227.3	  -64.3	   15.3
   24.0	  102.7	  -50.5	  112.2
   27.0	  171.8	  -59.4	   64.6
   28.0	  112.4	  -52.0	   51.2
   30.0	  127.8	  -54.3	   97.7
   31.0	  167.8	  -59.0	   32.9
   32.0	  165.8	  -58.8	   25.4
   33.0	  261.4	  -66.7	  128.6
   35.0	  218.6	  -63.6	   34.0
   36.0	  295.5	  -68.8	   50.9
   38.0	  127.4	  -54.2	  124.2
   41.0	  240.1	  -65.2	   23.0
   44.0	  199.6	  -62.0	   78.9
   45.0	  265.5	  -67.0	  132.9
   46.0	  231.5	  -64.6	   65.1
   47.0	  154.7	  -57.6	   49.0
   48.0	  243.1	  -65.4	   17.4
   49.0	  185.3	  -60.7	   52.6
   50.0	  186.2	  -60.8	   71.9
   51.0	  245.8	  -65.6	   61.3
   54.0	  222.1	  -63.9	   99.1
   55.0	  174.0	  -59.6	  109.5
   56.0	  153.3	  -57.4	   77.6
   59.0	  250.2	  -65.9	   31.6
   60.0	  285.8	  -68.2	   54.1
   61.0	  161.7	  -58.4	   80.7
