Node	distance(m)	dbm	displacement
    1.0	  203.8	  -62.4	    0.0
    2.0	  139.7	  -55.8	   90.1
    4.0	  135.4	  -55.3	  133.1
    6.0	  252.6	  -66.1	   56.0
    9.0	  277.3	  -67.7	   95.2
   10.0	  154.2	  -57.5	   52.3
   11.0	  132.2	  -54.9	  105.2
   12.0	  102.2	  -50.4	   56.3
   15.0	  217.0	  -63.5	   56.5
   16.0	  249.4	  -65.9	    9.6
   17.0	  123.9	  -53.7	   32.9
   18.0	  179.0	  -60.1	    7.3
   20.0	  230.1	  -64.5	  139.4
   21.0	  180.2	  -60.2	   88.3
   22.0	  288.0	  -68.4	   71.5
   24.0	  262.4	  -66.8	   38.3
   25.0	  109.9	  -51.6	   94.0
