Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     180,       0,      84
       2,      16,       0,       1,       0,       0
       3,       0,      16,       0,       1,       0
       4,      16,       0,       1,       0,       0
       5,       7,       9,       0,       1,       0
       6,      16,       0,       0,       0,       1
       7,      10,       6,       0,       1,       0
       8,       0,      16,       0,       1,       0
       9,      16,       0,       0,       0,       1
      10,       6,      10,       1,       0,       0
      11,      16,       0,       1,       0,       0
      12,      16,       0,       1,       0,       0
      13,       0,      16,       0,       1,       0
      14,       0,      16,       0,       1,       0
      15,      16,       0,       1,       0,       0
      16,      16,       0,       0,       0,       1
      17,      16,       0,       1,       0,       0
      18,      16,       0,       1,       0,       0
      19,       0,      16,       0,       1,       0
      20,      16,       0,       1,       0,       0
      21,      16,       0,       1,       0,       0
      22,      16,       0,       0,       0,       1
      23,       0,      16,       0,       1,       0
      24,      16,       0,       0,       0,       1
      25,      16,       0,       1,       0,       0
      26,       0,      16,       0,       1,       0
