Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,      83,       0,      59
       2,      16,       0,       0,       0,       1
       3,      16,       0,       1,       0,       0
       4,       0,      16,       0,       1,       0
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,       0,      16,       0,       1,       0
       8,      16,       0,       1,       0,       0
       9,       0,      16,       0,       1,       0
      10,       6,      10,       1,       0,       0
      11,       0,      16,       0,       1,       0
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       0,       0,       1
      15,      16,       0,       1,       0,       0
      16,      16,       0,       1,       0,       0
