Nodes	Energy (mJ)
2.0	766.767954759
3.0	139.447882906
4.0	1255.31007462
5.0	501.369875
6.0	465.112189995
7.0	252.502925208
8.0	1405.30028984
9.0	1562.17401523
10.0	498.88390625
11.0	1203.7885513
12.0	1229.98055556
13.0	309.184427564
14.0	649.319178251
15.0	574.584545927
16.0	1747.22031924
17.0	1439.21504512
18.0	1924.07617196
19.0	1906.34175332
20.0	391.90438237
21.0	736.064703184
22.0	80.9250533986
23.0	1254.93598209
24.0	1644.02644023
25.0	1405.86452308
26.0	28.3396799773
27.0	507.223663533
28.0	1780.87315646
29.0	1730.69378266
30.0	978.340171581
31.0	628.800396213
32.0	262.896545323
33.0	1806.65029354
34.0	381.48223795
35.0	666.242326277
36.0	568.195484876
37.0	297.999109485
38.0	1081.60381637
39.0	20.1592121875
40.0	437.65664578
41.0	500.827244927
42.0	523.300395366
43.0	1804.47974831
44.0	514.663616141
45.0	273.904476597
46.0	1654.15516737
47.0	359.435509034
48.0	1186.18891837
49.0	706.752066974
50.0	1775.79931377
51.0	57.1382505358
52.0	1051.55140516
53.0	1345.62950132
54.0	970.099677729
55.0	771.911154578
56.0	1725.30809351
57.0	1090.33368776
58.0	100.40456906
59.0	232.035880661
60.0	510.691725573
61.0	1802.21482257
62.0	93.0972851186
63.0	557.974258864
64.0	416.217257933
65.0	427.511092182
66.0	244.232076651
67.0	92.3061644655
68.0	1524.58960633
69.0	811.624197242
70.0	1762.65770258
71.0	168.967461776
72.0	1554.57258615
73.0	1125.74640113
74.0	338.483803817
75.0	813.8867949
76.0	1333.51472466
77.0	76.8663065297
78.0	1408.39689596
79.0	1953.11456982
80.0	270.900249888
81.0	1319.37331587
