Node	distance(m)	dbm	displacement
    1.0	  210.8	  -63.0	    0.0
    2.0	  126.1	  -54.0	   15.0
    3.0	  220.0	  -63.7	   96.0
    4.0	  247.3	  -65.7	   15.0
    6.0	  225.0	  -64.1	   27.1
    7.0	  292.0	  -68.6	   69.6
    8.0	  179.3	  -60.1	   16.4
    9.0	  269.1	  -67.2	   61.1
   10.0	  266.1	  -67.0	    3.7
   11.0	  222.4	  -63.9	   18.8
   12.0	  208.7	  -62.8	   22.2
   14.0	  135.0	  -55.2	   71.4
   17.0	  282.3	  -68.0	   89.3
   18.0	  136.7	  -55.4	   29.2
   19.0	  127.4	  -54.2	  145.6
   20.0	  202.9	  -62.3	   72.1
   21.0	  271.4	  -67.3	  145.0
   22.0	  124.9	  -53.9	  128.9
   24.0	  262.4	  -66.8	   47.8
   25.0	  163.9	  -58.6	   99.3
   26.0	  275.7	  -67.6	   94.6
   27.0	  188.4	  -61.0	   31.5
   28.0	  297.0	  -68.9	   54.0
   32.0	  182.5	  -60.5	   96.3
   33.0	  219.2	  -63.6	  150.2
   35.0	  250.7	  -66.0	   89.4
   36.0	  146.9	  -56.7	  124.3
   37.0	  163.6	  -58.6	   71.4
   39.0	  135.8	  -55.3	   31.2
   40.0	  108.0	  -51.3	   11.0
   41.0	  202.6	  -62.3	   21.0
   42.0	  151.0	  -57.2	   84.0
   43.0	  156.4	  -57.8	   19.8
   44.0	  246.5	  -65.7	   73.7
   46.0	  296.7	  -68.9	   80.7
   48.0	  221.4	  -63.8	   57.2
   51.0	  202.2	  -62.2	   63.1
   52.0	  275.1	  -67.6	   62.5
   53.0	  245.1	  -65.6	   75.7
   54.0	  267.3	  -67.1	   50.3
   56.0	  120.2	  -53.2	   53.2
   58.0	  120.1	  -53.2	   13.0
   60.0	  234.7	  -64.8	  146.3
   61.0	  231.1	  -64.6	   65.0
   62.0	  216.5	  -63.4	   44.8
   64.0	  226.8	  -64.2	  165.4
   65.0	  192.6	  -61.4	   12.0
   66.0	  132.8	  -54.9	  115.3
   67.0	  209.6	  -62.9	   87.4
   68.0	  293.7	  -68.7	   36.3
   69.0	  250.4	  -65.9	   53.7
   70.0	  171.3	  -59.3	   91.8
   71.0	  138.8	  -55.7	  105.5
   73.0	  206.1	  -62.6	   37.1
   74.0	  261.1	  -66.7	   83.0
   75.0	  300.0	  -69.1	   93.8
   76.0	  274.5	  -67.5	   86.4
