Nodes	Energy (mJ)
2.0	221.204666935
3.0	81.5607744329
4.0	951.924432067
5.0	501.369875
6.0	1421.11258619
7.0	1323.44454206
8.0	485.966390489
9.0	581.372532126
10.0	498.88390625
11.0	894.714331482
12.0	1466.8002732
13.0	1791.9918854
14.0	1835.11070057
15.0	1126.40764062
16.0	1676.8834111
17.0	121.875129347
18.0	977.416332413
19.0	176.10917137
20.0	10.5994616288
21.0	1168.77008586
22.0	1965.84175338
23.0	1114.99759487
24.0	1940.64579433
25.0	363.672836833
26.0	1776.56419704
27.0	527.833303319
28.0	1647.57046277
29.0	544.287319078
30.0	1168.24151523
31.0	353.979666181
32.0	357.743337661
33.0	1922.25396168
34.0	502.684863509
35.0	468.37268907
36.0	1759.78349194
37.0	603.189557323
38.0	153.160727584
39.0	1448.37689123
40.0	1116.5680145
41.0	1785.16721703
42.0	283.581800313
43.0	442.788915937
44.0	1548.86747815
45.0	222.669469914
46.0	1426.67792603
47.0	1734.87363927
48.0	1870.72295476
49.0	1020.26473932
50.0	1585.93748297
51.0	1021.15404612
52.0	9.37984815967
53.0	1404.92895127
54.0	974.149405236
55.0	1986.97308144
56.0	760.498797462
