Node	distance(m)	dbm	displacement
    1.0	  131.7	  -54.8	    0.0
    2.0	  224.5	  -64.1	   49.2
    3.0	  128.4	  -54.3	   62.7
    4.0	  180.5	  -60.3	   57.9
    6.0	  277.7	  -67.7	   15.0
    7.0	  267.4	  -67.1	   89.2
    8.0	  150.3	  -57.1	  104.6
    9.0	  256.2	  -66.3	   35.0
   10.0	  212.1	  -63.1	  121.3
   11.0	  245.3	  -65.6	   77.0
   12.0	  153.6	  -57.5	  120.5
   13.0	  207.2	  -62.7	   92.6
   14.0	  272.7	  -67.4	   25.0
   17.0	  163.9	  -58.6	   58.9
   18.0	  272.5	  -67.4	   65.7
   19.0	  189.6	  -61.1	   13.3
   20.0	  219.6	  -63.7	   81.6
   21.0	  202.6	  -62.3	   43.6
   22.0	  101.9	  -50.3	   76.2
   24.0	  197.2	  -61.8	   78.0
   25.0	  206.5	  -62.6	  138.1
   26.0	  225.0	  -64.1	  135.5
   27.0	  160.5	  -58.2	   47.0
   29.0	  191.5	  -61.3	   89.3
   30.0	  108.5	  -51.4	   60.5
   31.0	  182.9	  -60.5	   59.7
