Node	distance(m)	dbm	displacement
    1.0	  207.9	  -62.7	    0.0
    2.0	  129.7	  -54.5	   90.3
    3.0	  272.3	  -67.4	   83.3
    4.0	  156.0	  -57.7	   47.5
    6.0	  206.4	  -62.6	   37.3
    8.0	  243.1	  -65.4	   18.5
   10.0	  299.2	  -69.0	   82.0
   11.0	  232.5	  -64.7	   28.0
   12.0	  123.6	  -53.7	   33.4
   13.0	  194.3	  -61.5	   26.0
   14.0	  176.7	  -59.9	   43.9
   15.0	  186.9	  -60.9	  119.5
   16.0	  179.5	  -60.2	   79.2
   17.0	  263.1	  -66.8	   57.4
   19.0	  246.8	  -65.7	   46.9
   20.0	  112.5	  -52.0	   46.9
   21.0	  117.8	  -52.9	    5.2
   22.0	  169.4	  -59.2	   27.5
   24.0	  195.2	  -61.6	   58.2
   25.0	  268.2	  -67.1	  112.9
   26.0	  270.3	  -67.3	   73.7
   27.0	  174.4	  -59.7	   37.7
   28.0	  205.3	  -62.5	   78.6
   29.0	  189.2	  -61.1	   81.2
   30.0	  216.3	  -63.4	   18.8
   33.0	  258.6	  -66.5	   60.4
   34.0	  285.9	  -68.3	   80.4
   35.0	  108.0	  -51.3	   19.3
   36.0	  138.6	  -55.7	   41.9
   37.0	  211.2	  -63.0	   46.1
   39.0	  198.8	  -61.9	   69.0
   40.0	  287.4	  -68.3	   38.2
   42.0	  162.9	  -58.5	   20.0
   43.0	  144.4	  -56.4	   97.0
   44.0	  208.0	  -62.7	   13.0
