Nodes	Energy (mJ)
2.0	1408.30435365
3.0	1246.61986048
4.0	1351.76691196
5.0	501.369875
6.0	1313.58368639
7.0	1552.87628674
8.0	1591.69529253
9.0	1660.9853809
10.0	498.88390625
11.0	624.867392234
12.0	1712.69341645
13.0	383.355575906
14.0	1404.05569391
15.0	420.027048624
16.0	411.466035305
17.0	1514.34435932
18.0	662.662025894
19.0	587.374568979
20.0	1989.76425167
21.0	1366.76099262
22.0	821.116760741
23.0	424.27074014
24.0	927.226250993
25.0	1876.22767842
26.0	935.546772014
27.0	972.27199821
28.0	1982.27143707
29.0	235.117744874
30.0	423.336724412
31.0	486.151668153
32.0	1901.22519452
33.0	884.030682346
34.0	324.243139941
35.0	633.421878863
36.0	1293.19638714
37.0	696.067543644
38.0	365.071436314
39.0	1739.84705083
40.0	1593.14327084
41.0	1979.14203383
42.0	624.684749452
43.0	1474.9823648
44.0	1804.13458325
45.0	498.909453425
46.0	1896.17769492
47.0	180.028098678
48.0	1012.2968414
49.0	450.899712555
50.0	324.317617233
51.0	1436.04645116
52.0	1848.88359318
53.0	534.514640825
54.0	513.687707157
55.0	453.069003192
56.0	1215.23460339
57.0	254.868203417
58.0	1943.60029931
59.0	373.519128987
60.0	594.721834261
61.0	977.563959704
62.0	1068.24935226
63.0	314.701684515
64.0	1912.17763817
65.0	1031.22825266
66.0	1968.11528473
67.0	1598.74483841
68.0	1455.64116611
69.0	533.428504105
70.0	1608.37394227
71.0	1318.50471833
72.0	165.597211771
73.0	1519.73758569
74.0	1826.34262213
75.0	1469.32940643
76.0	1531.26289059
