Nodes	Energy (mJ)
2.0	1352.80410095
3.0	935.548979201
4.0	137.675028024
5.0	501.369875
6.0	254.3609098
7.0	1376.82405262
8.0	1168.37751137
9.0	19.4697121344
10.0	498.88390625
11.0	1335.78014785
12.0	1812.08961957
13.0	1132.22117957
14.0	1191.31245326
15.0	365.721395414
16.0	591.083150728
17.0	463.580268969
18.0	1907.33019712
19.0	1070.57806885
20.0	169.069545539
21.0	1673.74446629
22.0	1648.68672898
23.0	1946.35802307
24.0	420.013830588
25.0	107.899433121
26.0	425.547036912
27.0	1377.78820172
28.0	560.884405631
29.0	304.766397107
30.0	857.535244587
31.0	410.509296229
32.0	1244.00021982
33.0	1384.03185298
34.0	1714.4521175
35.0	640.386708259
36.0	1648.07505834
37.0	1453.76449865
38.0	1240.78091398
39.0	1032.73899532
40.0	257.513303086
41.0	252.835158584
42.0	1461.75442921
43.0	605.068373411
44.0	1537.98577169
45.0	1766.65684076
46.0	933.137056719
47.0	1626.9926763
48.0	206.650541267
49.0	589.668233649
50.0	808.680162906
51.0	381.279716661
52.0	1374.82497155
53.0	1493.68588081
54.0	1624.26568425
55.0	1279.12090891
56.0	1263.00991242
57.0	870.358180706
58.0	169.688749827
59.0	73.1560174188
60.0	459.727525921
61.0	1672.25400326
62.0	660.559550477
63.0	1232.59906244
64.0	242.742913012
65.0	1566.50649594
66.0	1150.8413246
67.0	848.825611566
68.0	269.375987855
69.0	1000.16031905
70.0	1365.81008373
71.0	194.250178567
72.0	634.294075502
73.0	1562.76154641
74.0	1412.69689717
75.0	1220.61137469
76.0	1780.18595079
77.0	865.943306875
78.0	1430.61538752
79.0	1564.81025504
80.0	400.386007855
81.0	1749.41726163
82.0	653.41972812
83.0	649.415268817
84.0	195.374448467
85.0	1110.50185312
86.0	1794.26387871
87.0	1271.97549967
88.0	456.427109366
89.0	446.363477349
90.0	1545.24926195
91.0	239.780732904
