Nodes	Energy (mJ)
2.0	52.3542850367
3.0	1723.85289865
4.0	686.495450854
5.0	501.369875
6.0	1785.75518547
7.0	826.353296326
8.0	775.455377597
9.0	179.068638364
10.0	498.88390625
11.0	112.042398806
12.0	1231.67919792
13.0	1211.8735211
14.0	1763.18807687
15.0	101.597374585
16.0	571.195894201
17.0	1069.3616115
18.0	1385.65628215
19.0	923.252366225
20.0	84.9324986664
21.0	1126.33683307
22.0	1018.85530545
23.0	1528.02218588
24.0	676.84096211
25.0	173.559168461
26.0	1962.36490643
27.0	1138.16414601
28.0	293.190771995
29.0	48.0248495862
30.0	1277.45451362
31.0	537.960357133
32.0	925.945524437
33.0	1948.93130703
34.0	1003.1864392
35.0	361.338221815
36.0	822.523525664
37.0	1522.68669011
38.0	1238.99880607
39.0	675.123538886
40.0	538.102697561
41.0	745.260193135
42.0	1806.11488248
43.0	537.373632022
44.0	713.265170219
45.0	416.771101435
46.0	1211.17880839
47.0	1060.28696124
48.0	1708.5027879
49.0	1352.69101363
50.0	906.990798685
51.0	1142.15527273
52.0	1928.93417588
53.0	212.942522982
54.0	243.534076435
55.0	1566.18617874
56.0	1918.92692234
57.0	1786.37350367
58.0	1321.00455843
59.0	1866.97542668
60.0	507.845657328
61.0	1736.60180616
62.0	1539.37166717
63.0	941.668666645
64.0	77.7459823125
65.0	311.028464965
66.0	1899.13992797
67.0	797.447929959
68.0	432.695363448
69.0	169.019786323
70.0	458.912535482
71.0	1645.99912441
72.0	1193.73342107
73.0	831.074437893
74.0	808.549066536
75.0	1652.07125021
76.0	1980.34462264
77.0	483.925651932
78.0	1426.37004942
79.0	85.321171069
80.0	820.075087934
81.0	496.445939986
82.0	1224.92575266
83.0	774.629618772
84.0	499.636329896
85.0	858.443948646
86.0	1312.82570614
87.0	1363.81286583
88.0	1782.35357512
89.0	1758.37189786
90.0	1816.25029794
91.0	110.475187665
92.0	1010.15470625
93.0	1790.28029013
94.0	180.248947926
95.0	1977.78820614
96.0	216.491587616
97.0	266.372860871
98.0	937.131337716
99.0	820.813198962
100.0	1883.19483729
101.0	220.766686169
