Node	distance(m)	dbm	displacement
    1.0	  112.8	  -52.1	    0.0
    2.0	  139.2	  -55.7	   33.2
    4.0	  289.1	  -68.4	   59.0
    8.0	  227.5	  -64.3	   87.8
    9.0	  116.0	  -52.6	   62.7
   10.0	  266.5	  -67.0	   48.4
   11.0	  184.2	  -60.6	  135.0
   12.0	  272.8	  -67.4	   25.8
   13.0	  295.3	  -68.8	   24.2
   14.0	  285.7	  -68.2	   67.4
   17.0	  100.9	  -50.2	    9.3
   18.0	  103.4	  -50.6	   46.7
   19.0	  108.7	  -51.5	   57.9
   21.0	  177.2	  -59.9	   95.3
   25.0	  264.1	  -66.9	   79.4
   26.0	  256.0	  -66.3	  127.6
   27.0	  200.7	  -62.1	   30.3
   28.0	  288.6	  -68.4	   77.2
   29.0	  275.9	  -67.6	   46.8
   30.0	  101.5	  -50.3	  145.2
   31.0	  206.0	  -62.6	   51.8
   32.0	  207.0	  -62.6	   52.6
   33.0	  133.0	  -55.0	    9.4
   34.0	  141.2	  -56.0	  135.1
   35.0	  279.7	  -67.9	  109.7
   36.0	  168.2	  -59.0	   47.4
   37.0	  155.1	  -57.6	   18.7
   39.0	  182.7	  -60.5	  109.0
   40.0	  286.2	  -68.3	   54.8
   41.0	  224.4	  -64.0	  130.1
