Node	distance(m)	dbm	displacement
    1.0	  158.3	  -58.0	    0.0
    2.0	  222.6	  -63.9	   66.2
    3.0	  214.9	  -63.3	   73.3
    7.0	  230.0	  -64.5	   74.7
    8.0	  293.5	  -68.7	  131.2
    9.0	  119.6	  -53.1	   26.9
   10.0	  165.5	  -58.8	   13.2
   11.0	  259.2	  -66.5	   97.6
   14.0	  105.8	  -51.0	   50.7
   15.0	  191.8	  -61.3	   51.5
   16.0	  289.2	  -68.4	   72.6
   18.0	  165.6	  -58.8	   49.5
   19.0	  271.6	  -67.4	  125.8
   20.0	  149.2	  -56.9	   58.4
   21.0	  201.1	  -62.1	  120.1
