Node	distance(m)	dbm	displacement
    1.0	  153.9	  -57.5	    0.0
    2.0	  250.8	  -66.0	   55.3
    4.0	  206.0	  -62.6	   27.1
    8.0	  202.6	  -62.3	   79.3
    9.0	  153.9	  -57.5	   63.7
   10.0	  138.1	  -55.6	   47.8
   11.0	  260.9	  -66.7	   34.4
   12.0	  199.7	  -62.0	    4.7
   14.0	  286.2	  -68.3	   28.7
   15.0	  221.4	  -63.8	   50.1
   16.0	  128.1	  -54.3	   70.5
   17.0	  121.9	  -53.4	  184.1
   18.0	  184.5	  -60.6	   25.6
   19.0	  254.7	  -66.2	   91.4
   21.0	  156.4	  -57.8	   50.0
   23.0	  230.6	  -64.5	   30.1
   24.0	  172.0	  -59.4	   89.9
   25.0	  128.9	  -54.4	   75.8
   27.0	  250.1	  -65.9	  100.5
   28.0	  107.2	  -51.2	   42.5
   29.0	  209.3	  -62.8	   65.2
   30.0	  281.7	  -68.0	   36.9
   31.0	  150.4	  -57.1	  106.4
   33.0	  129.4	  -54.5	  143.7
   35.0	  176.9	  -59.9	  110.6
   36.0	  108.7	  -51.5	   31.2
   38.0	  268.0	  -67.1	   57.5
   42.0	  119.7	  -53.1	  102.7
   43.0	  297.2	  -68.9	   95.2
   44.0	  201.8	  -62.2	  113.2
   46.0	  214.2	  -63.2	  140.1
   48.0	  200.1	  -62.1	   25.0
   49.0	  193.1	  -61.4	   71.3
   50.0	  111.3	  -51.9	    1.2
   52.0	  117.8	  -52.8	   94.5
   53.0	  187.3	  -60.9	   36.3
   54.0	  130.1	  -54.6	   92.1
   55.0	  243.6	  -65.5	   51.3
   56.0	  160.9	  -58.3	   31.8
   57.0	  255.2	  -66.3	   27.0
   60.0	  245.3	  -65.6	   71.0
   61.0	  117.7	  -52.8	  104.5
   63.0	  297.2	  -68.9	   75.5
   68.0	  209.0	  -62.8	   35.3
   69.0	  225.4	  -64.1	   35.6
   70.0	  228.9	  -64.4	   82.5
   72.0	  190.2	  -61.2	   57.0
   73.0	  114.1	  -52.3	   83.6
   75.0	  233.1	  -64.7	  165.5
   76.0	  298.2	  -69.0	   68.7
   78.0	  258.6	  -66.5	  133.5
   79.0	  123.2	  -53.6	  170.8
   81.0	  212.7	  -63.1	   64.5
