Node	distance(m)	dbm	displacement
    1.0	   38.9	  -41.8	    0.0
    2.0	  193.7	  -61.5	  112.7
    3.0	  282.3	  -68.0	  107.5
    7.0	  275.4	  -67.6	   67.1
    8.0	  196.8	  -61.8	  104.1
   10.0	  107.6	  -51.3	   43.9
   11.0	  253.3	  -66.1	   98.5
   12.0	  108.1	  -51.4	   96.2
   13.0	  135.9	  -55.3	   36.5
   14.0	  141.1	  -56.0	   35.6
   16.0	  292.7	  -68.7	   64.4
   18.0	  166.0	  -58.8	   36.2
   19.0	  100.7	  -50.1	   26.3
   21.0	  273.0	  -67.4	   80.0
   22.0	  191.6	  -61.3	   21.8
   23.0	  157.0	  -57.8	   29.6
   27.0	  264.1	  -66.9	   60.0
   28.0	  263.0	  -66.8	   13.6
   30.0	  234.2	  -64.8	   17.2
   32.0	  110.9	  -51.8	   17.5
   33.0	  200.1	  -62.1	   52.9
   34.0	  109.9	  -51.6	   39.4
   35.0	  246.5	  -65.7	   87.7
   36.0	  202.4	  -62.2	   61.9
   37.0	  268.4	  -67.2	   98.5
   38.0	  146.6	  -56.6	   19.7
   39.0	  294.1	  -68.7	  100.8
   42.0	  187.3	  -60.9	  126.5
   43.0	  264.3	  -66.9	  101.3
   44.0	  155.4	  -57.7	   49.5
   45.0	  229.7	  -64.4	   90.9
   46.0	  251.1	  -66.0	   72.0
   47.0	  103.8	  -50.7	   46.3
   49.0	  287.5	  -68.3	   38.7
   50.0	  138.7	  -55.7	   62.4
   52.0	  164.5	  -58.6	   47.9
   53.0	  208.1	  -62.7	   55.7
   54.0	  185.2	  -60.7	   98.4
   55.0	  145.2	  -56.5	   99.0
   56.0	  102.7	  -50.5	  139.4
   57.0	  119.3	  -53.1	  105.4
   61.0	  214.6	  -63.3	  122.3
   62.0	  271.7	  -67.4	   33.3
   63.0	  180.0	  -60.2	   94.5
   65.0	  236.9	  -65.0	   54.1
   66.0	  279.7	  -67.9	  112.8
   67.0	  234.1	  -64.8	   47.0
   69.0	  106.3	  -51.1	   19.3
   70.0	  257.0	  -66.4	   73.3
   72.0	  262.3	  -66.7	   19.0
   73.0	  247.5	  -65.7	  101.7
   74.0	  210.6	  -62.9	   91.0
   75.0	  253.2	  -66.1	   46.5
   76.0	  158.4	  -58.0	   75.0
   77.0	  288.0	  -68.4	   83.0
   78.0	  179.3	  -60.1	   22.4
   79.0	  207.8	  -62.7	   64.6
   81.0	  222.8	  -63.9	   81.1
   82.0	  174.3	  -59.7	   46.0
   83.0	  195.2	  -61.6	   21.1
   85.0	  217.9	  -63.5	   72.7
   86.0	  247.3	  -65.7	   65.8
   87.0	  179.7	  -60.2	   52.1
   90.0	  100.8	  -50.1	   98.7
