Node	distance(m)	dbm	displacement
    1.0	  203.9	  -62.4	    0.0
    3.0	  176.0	  -59.8	   74.1
    4.0	  279.0	  -67.8	  112.9
    6.0	  147.6	  -56.8	   20.7
    7.0	  292.6	  -68.7	  101.1
    8.0	  177.8	  -60.0	  113.1
   10.0	  141.9	  -56.1	   67.9
   12.0	  212.9	  -63.1	   71.4
   13.0	  229.0	  -64.4	   46.2
   14.0	  149.2	  -57.0	   11.9
   16.0	  188.0	  -61.0	   84.2
   17.0	  154.2	  -57.5	   69.1
   18.0	  237.2	  -65.0	   40.5
   19.0	  263.1	  -66.8	   46.4
   21.0	  138.8	  -55.7	  114.5
   22.0	  219.2	  -63.6	   54.9
   23.0	  204.4	  -62.4	   95.3
   24.0	  241.9	  -65.3	   95.0
   26.0	  243.5	  -65.5	   71.4
   27.0	  198.0	  -61.9	   32.2
   30.0	  146.0	  -56.6	  106.5
   31.0	  259.2	  -66.5	   75.0
   32.0	  107.2	  -51.2	   90.5
   33.0	  164.3	  -58.6	   76.4
   34.0	  204.6	  -62.4	   80.7
   36.0	  171.6	  -59.4	  121.2
   37.0	  145.2	  -56.5	   64.0
   38.0	  275.8	  -67.6	   53.5
   39.0	  129.7	  -54.5	   23.2
   40.0	  186.9	  -60.9	   58.1
   41.0	  291.9	  -68.6	  116.6
   42.0	  131.0	  -54.7	  119.6
   43.0	  164.1	  -58.6	   21.0
   44.0	  297.4	  -68.9	   31.1
   46.0	  128.3	  -54.3	   74.5
   47.0	  220.7	  -63.8	   34.5
   48.0	  256.1	  -66.3	   31.0
   49.0	  299.9	  -69.1	  103.3
   50.0	  128.1	  -54.3	   72.6
   51.0	  284.0	  -68.1	   53.0
   52.0	  106.4	  -51.1	   29.0
   55.0	  163.0	  -58.5	   88.2
   56.0	  166.7	  -58.9	   76.4
   57.0	  214.0	  -63.2	   27.5
   58.0	  194.0	  -61.5	   32.4
   59.0	  274.3	  -67.5	   83.8
   60.0	  282.8	  -68.1	   27.6
   61.0	  135.4	  -55.3	   85.3
   62.0	  232.5	  -64.7	   18.9
   63.0	  248.6	  -65.8	   17.4
   66.0	  265.8	  -67.0	   13.1
   67.0	  116.8	  -52.7	   50.6
   71.0	  258.4	  -66.5	   32.3
   72.0	  199.3	  -62.0	   56.2
   73.0	  149.0	  -56.9	   66.9
   74.0	  290.4	  -68.5	   82.1
   75.0	  253.8	  -66.2	   65.8
   76.0	  152.9	  -57.4	   53.9
   78.0	  231.4	  -64.6	    5.1
   80.0	  129.6	  -54.5	   37.1
   82.0	  111.2	  -51.8	   33.0
   83.0	  292.9	  -68.7	   70.2
   85.0	  232.6	  -64.7	   11.1
   86.0	  185.1	  -60.7	   88.7
   87.0	  277.1	  -67.7	   24.5
   88.0	  133.2	  -55.0	   89.7
   89.0	  217.4	  -63.5	   87.6
   90.0	  162.9	  -58.5	  108.0
   92.0	  219.8	  -63.7	   29.5
   93.0	  198.1	  -61.9	   49.6
   95.0	  141.2	  -56.0	   93.1
   98.0	  233.3	  -64.7	  155.3
   99.0	  246.0	  -65.6	   45.0
  100.0	  177.4	  -60.0	   26.5
