Nodes	Energy (mJ)
2.0	2000.19491918
3.0	1278.53309281
4.0	934.623570018
5.0	501.369875
6.0	841.340947815
7.0	408.634097136
8.0	206.306368205
9.0	1440.46358131
10.0	498.88390625
11.0	865.980279255
12.0	593.762394101
13.0	910.802708263
14.0	15.0409483287
15.0	15.4450116285
16.0	1203.11599159
17.0	1448.13168825
18.0	141.641283419
19.0	1607.96132286
20.0	1451.3752958
21.0	1896.0658518
22.0	1016.08983886
23.0	868.943489228
24.0	682.180491417
25.0	1457.5214312
26.0	858.913594843
27.0	184.368227867
28.0	1777.58745535
29.0	846.070460455
30.0	686.733444899
31.0	882.550880152
32.0	721.33198707
33.0	387.996281457
34.0	542.69669796
35.0	799.927878132
36.0	1480.47898219
