Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     290,       0,     108
       2,      16,       0,       1,       0,       0
       3,      16,       0,       1,       0,       0
       4,      16,       0,       1,       0,       0
       5,       7,       9,       0,       1,       0
       6,      16,       0,       0,       0,       1
       7,      16,       0,       0,       0,       1
       8,      16,       0,       1,       0,       0
       9,      16,       0,       0,       0,       1
      10,       6,      10,       1,       0,       0
      11,      16,       0,       0,       0,       1
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       0,       0,       1
      15,       0,      16,       0,       1,       0
      16,       0,      16,       0,       1,       0
      17,      16,       0,       1,       0,       0
      18,      16,       0,       0,       0,       1
      19,      16,       0,       1,       0,       0
      20,      16,       0,       1,       0,       0
      21,      16,       0,       1,       0,       0
      22,      16,       0,       1,       0,       0
      23,       0,      16,       0,       1,       0
      24,      16,       0,       1,       0,       0
      25,      16,       0,       1,       0,       0
      26,      16,       0,       1,       0,       0
      27,      16,       0,       1,       0,       0
      28,       0,      16,       0,       1,       0
      29,      16,       0,       1,       0,       0
      30,      16,       0,       1,       0,       0
      31,      16,       0,       1,       0,       0
