Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     538,       0,     308
       2,      16,       0,       1,       0,       0
       3,       0,      16,       0,       1,       0
       4,       0,      16,       0,       1,       0
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,      16,       0,       0,       0,       1
       8,      16,       0,       1,       0,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       0,       0,       1
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       0,       0,       1
      15,       0,      16,       0,       1,       0
      16,      16,       0,       0,       0,       1
      17,      16,       0,       0,       0,       1
      18,      16,       0,       0,       0,       1
      19,      16,       0,       0,       0,       1
      20,      16,       0,       1,       0,       0
      21,      16,       0,       1,       0,       0
      22,      16,       0,       1,       0,       0
      23,      16,       0,       0,       0,       1
      24,      16,       0,       1,       0,       0
      25,      16,       0,       1,       0,       0
      26,      16,       0,       1,       0,       0
      27,      16,       0,       1,       0,       0
      28,       0,      16,       0,       1,       0
      29,      16,       0,       1,       0,       0
      30,      16,       0,       1,       0,       0
      31,      16,       0,       1,       0,       0
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,       0,      16,       0,       1,       0
      36,      16,       0,       0,       0,       1
      37,      16,       0,       0,       0,       1
      38,      16,       0,       1,       0,       0
      39,      16,       0,       1,       0,       0
      40,      16,       0,       1,       0,       0
      41,      16,       0,       1,       0,       0
      42,      16,       0,       0,       0,       1
      43,      16,       0,       1,       0,       0
      44,      16,       0,       0,       0,       1
      45,       0,      16,       0,       1,       0
      46,      16,       0,       1,       0,       0
      47,      16,       0,       1,       0,       0
      48,      16,       0,       1,       0,       0
      49,      16,       0,       1,       0,       0
      50,      16,       0,       1,       0,       0
      51,       0,      16,       0,       1,       0
      52,      16,       0,       1,       0,       0
      53,       0,      16,       0,       1,       0
      54,       0,      16,       0,       1,       0
      55,      16,       0,       0,       0,       1
      56,      16,       0,       1,       0,       0
      57,      16,       0,       1,       0,       0
      58,      16,       0,       1,       0,       0
      59,       0,      16,       0,       1,       0
      60,      16,       0,       0,       0,       1
      61,      16,       0,       0,       0,       1
      62,      16,       0,       1,       0,       0
      63,      16,       0,       1,       0,       0
      64,      16,       0,       1,       0,       0
      65,      16,       0,       1,       0,       0
      66,      16,       0,       1,       0,       0
