Node	distance(m)	dbm	displacement
    1.0	  263.0	  -66.8	    0.0
    2.0	  178.9	  -60.1	   53.2
    7.0	  298.1	  -69.0	   75.8
    8.0	  144.7	  -56.4	   64.6
    9.0	  191.2	  -61.3	   30.2
   10.0	  205.0	  -62.5	   33.1
   11.0	  238.8	  -65.1	   39.6
   12.0	  156.5	  -57.8	   91.5
   13.0	  223.7	  -64.0	   77.4
   14.0	  277.6	  -67.7	   37.7
   16.0	  290.3	  -68.5	  102.5
   17.0	  284.3	  -68.2	   81.9
   18.0	  278.9	  -67.8	   24.0
   19.0	  291.0	  -68.6	   61.0
   20.0	  230.8	  -64.5	  180.4
   21.0	  153.7	  -57.5	   90.8
   22.0	  159.7	  -58.1	   59.9
   23.0	  250.5	  -66.0	   12.4
   24.0	  144.8	  -56.4	   39.5
   25.0	  217.7	  -63.5	   51.1
   26.0	  109.7	  -51.6	   79.8
   27.0	  159.9	  -58.2	   44.3
   29.0	  235.4	  -64.9	   34.4
   30.0	  150.8	  -57.1	   45.4
   31.0	  114.9	  -52.4	   86.4
   32.0	  183.9	  -60.6	   54.9
   33.0	  201.4	  -62.2	   19.9
   34.0	  183.8	  -60.6	   32.5
   36.0	  293.2	  -68.7	   25.4
   37.0	  249.2	  -65.9	  134.8
   38.0	  160.3	  -58.2	   82.3
   39.0	  203.3	  -62.3	  133.3
   40.0	  133.2	  -55.0	   93.7
   41.0	  138.2	  -55.6	   35.1
   42.0	  298.3	  -69.0	   34.6
   43.0	  197.1	  -61.8	   80.9
   44.0	  250.0	  -65.9	   57.2
   46.0	  225.2	  -64.1	   88.9
   47.0	  117.8	  -52.8	   92.0
   48.0	  227.1	  -64.3	   59.6
   49.0	  152.8	  -57.4	  116.9
   50.0	  161.3	  -58.3	   15.9
   52.0	  114.2	  -52.3	   62.5
   55.0	  237.3	  -65.0	   53.1
   56.0	  100.1	  -50.1	   96.8
   57.0	  213.5	  -63.2	   73.1
   58.0	  112.4	  -52.0	   45.6
   60.0	  245.2	  -65.6	   20.6
   61.0	  270.1	  -67.3	   27.6
   62.0	  102.4	  -50.4	   39.4
   63.0	  187.5	  -60.9	  117.4
   64.0	  175.6	  -59.8	   30.0
   65.0	  157.4	  -57.9	   73.6
   66.0	  182.7	  -60.5	   89.2
