Nodes	Energy (mJ)
2.0	1857.43373771
3.0	120.275947891
4.0	52.8519129676
5.0	501.369875
6.0	1784.73806273
7.0	1865.02651845
8.0	1187.68369075
9.0	1655.02932558
10.0	498.88390625
11.0	1873.76808699
12.0	1712.53966286
13.0	663.297080401
14.0	1041.5004911
15.0	1618.52129273
16.0	625.729766566
17.0	263.90999387
18.0	1456.3649896
19.0	501.240503163
20.0	317.86825649
21.0	584.536796973
22.0	1359.06264269
23.0	536.072186119
24.0	444.209724312
25.0	1943.19901074
26.0	302.222416311
27.0	1218.56202683
28.0	1737.08583951
29.0	1485.58260745
30.0	1822.80403173
31.0	1015.01429563
32.0	113.161088277
33.0	1270.66269734
34.0	1909.46816721
35.0	357.965436948
36.0	806.505323474
37.0	440.131110786
38.0	1034.7946315
39.0	1592.53298692
40.0	23.9380123231
41.0	389.968775065
42.0	1885.47247569
43.0	1924.0697811
44.0	1200.04674182
45.0	1254.52647027
46.0	544.739220245
47.0	1325.40125648
48.0	1078.08551813
49.0	1089.38531827
50.0	224.909262909
51.0	1188.87673761
52.0	539.71207775
53.0	1919.16018418
54.0	1814.17183078
55.0	268.461902648
56.0	901.287867606
57.0	495.462887801
58.0	1801.28631676
59.0	345.893963647
60.0	503.225056958
61.0	259.692515699
62.0	1760.42693574
63.0	941.155873069
64.0	1445.61177819
65.0	77.5215113847
66.0	1805.87477606
67.0	1409.80327168
68.0	1641.95998643
69.0	410.165295445
70.0	1651.15318017
71.0	635.150405227
72.0	610.419801069
73.0	1956.56126736
74.0	872.613747015
75.0	343.581071087
76.0	1335.25208055
77.0	1240.10479882
78.0	221.09976677
79.0	1232.63019011
80.0	1025.29633313
81.0	1824.62366099
82.0	1119.26644145
83.0	1398.28343018
84.0	294.714828267
85.0	1580.86037858
86.0	760.62469021
87.0	650.113449005
88.0	994.546370997
89.0	757.776363401
90.0	1248.57456308
91.0	1783.95089701
92.0	963.395866035
93.0	951.804668191
94.0	852.857555296
95.0	662.919471293
96.0	1485.58353973
