Node	distance(m)	dbm	displacement
    1.0	  133.7	  -55.0	    0.0
    2.0	  242.3	  -65.4	   44.2
    6.0	  274.2	  -67.5	   26.7
    7.0	  224.1	  -64.0	   98.2
    8.0	  208.6	  -62.8	  130.1
    9.0	  173.1	  -59.5	   63.2
   10.0	  120.5	  -53.2	   33.0
   11.0	  230.5	  -64.5	   40.1
   12.0	  109.7	  -51.6	   61.1
   13.0	  258.9	  -66.5	  116.4
   14.0	  244.6	  -65.5	   34.5
   15.0	  104.3	  -50.7	   53.4
   16.0	  111.8	  -51.9	   69.5
   18.0	  199.4	  -62.0	   68.4
   21.0	  173.4	  -59.6	   73.6
   22.0	  240.9	  -65.3	   62.8
   23.0	  279.3	  -67.8	   77.6
   25.0	  268.5	  -67.2	   41.3
   27.0	  133.5	  -55.0	  132.8
   28.0	  211.9	  -63.0	   89.7
   29.0	  195.4	  -61.6	   68.7
   30.0	  170.5	  -59.3	  109.1
   31.0	  253.4	  -66.2	   83.5
   33.0	  233.9	  -64.8	   52.2
   34.0	  187.3	  -60.9	   41.1
   36.0	  212.8	  -63.1	   57.7
   38.0	  158.8	  -58.0	  108.3
   39.0	  219.4	  -63.6	   84.0
   42.0	  168.2	  -59.0	  148.7
   43.0	  112.0	  -52.0	   34.0
   44.0	  138.8	  -55.7	   33.9
   45.0	  218.9	  -63.6	   65.9
   46.0	  280.9	  -67.9	   23.1
   47.0	  212.9	  -63.1	  126.0
   48.0	  245.5	  -65.6	   71.1
   49.0	  148.1	  -56.8	   14.7
   51.0	  202.2	  -62.2	   75.2
   52.0	  188.9	  -61.0	   60.8
   53.0	  113.5	  -52.2	   70.9
   54.0	  136.5	  -55.4	   44.4
   56.0	  123.5	  -53.7	   25.4
   58.0	  131.0	  -54.7	   33.3
   60.0	  280.7	  -67.9	  103.2
   62.0	  106.9	  -51.2	   15.2
   63.0	  193.4	  -61.5	   65.7
   64.0	  197.8	  -61.8	   60.4
   66.0	  129.3	  -54.5	   38.5
   67.0	  293.3	  -68.7	   27.7
   68.0	  247.4	  -65.7	  100.8
   70.0	  209.8	  -62.9	   72.7
   71.0	  267.5	  -67.1	   45.3
   72.0	  118.1	  -52.9	  116.6
   73.0	  167.5	  -59.0	  101.0
   74.0	  101.3	  -50.2	   50.0
   76.0	  151.8	  -57.2	   27.2
   77.0	  135.5	  -55.3	   84.1
   79.0	  274.0	  -67.5	   59.5
   80.0	  213.5	  -63.2	  104.0
   81.0	  124.9	  -53.9	  102.8
   82.0	  163.5	  -58.5	   53.0
   83.0	  227.0	  -64.2	   87.3
   85.0	  118.2	  -52.9	   60.0
   86.0	  267.9	  -67.1	   12.4
   87.0	  251.0	  -66.0	   97.6
   88.0	  124.5	  -53.8	   61.6
   89.0	  262.5	  -66.8	   96.3
   90.0	  184.8	  -60.7	  127.1
   91.0	  279.3	  -67.8	   31.2
   92.0	  268.1	  -67.1	   15.2
   93.0	  127.4	  -54.2	   45.9
   94.0	  197.6	  -61.8	   17.0
   95.0	  180.8	  -60.3	   35.6
   96.0	  126.1	  -54.0	    8.5
