Node	distance(m)	dbm	displacement
    1.0	  176.4	  -59.9	    0.0
    3.0	  144.2	  -56.4	   43.6
    6.0	  197.6	  -61.8	   53.8
    8.0	  204.1	  -62.4	   66.0
    9.0	  245.5	  -65.6	  115.7
   10.0	  140.7	  -55.9	   51.1
   11.0	  145.4	  -56.5	  129.8
   12.0	  121.0	  -53.3	   37.5
   16.0	  206.6	  -62.6	   13.1
   17.0	  231.5	  -64.6	  152.7
   18.0	  122.4	  -53.5	  124.2
   19.0	  121.8	  -53.4	   57.3
   20.0	  183.0	  -60.5	   92.5
   21.0	  289.2	  -68.4	   36.5
   23.0	  179.5	  -60.2	  123.2
   24.0	  290.2	  -68.5	   51.7
   25.0	  238.7	  -65.1	   17.1
   26.0	  178.5	  -60.1	   28.1
   27.0	  107.7	  -51.3	   21.4
   28.0	  292.4	  -68.6	  101.6
   29.0	  154.1	  -57.5	   42.7
   32.0	  134.2	  -55.1	  103.4
   34.0	  170.5	  -59.3	   14.9
   35.0	  184.8	  -60.7	  136.1
   36.0	  217.1	  -63.5	   63.7
   38.0	  201.2	  -62.1	   55.8
   39.0	  137.8	  -55.6	   46.5
   40.0	  295.7	  -68.8	   42.0
   41.0	  153.9	  -57.5	  100.8
   42.0	  167.2	  -58.9	   40.7
   43.0	  265.1	  -66.9	   96.7
   44.0	  261.2	  -66.7	  103.8
   45.0	  104.0	  -50.7	    8.6
   46.0	  244.8	  -65.6	   37.1
   47.0	  196.5	  -61.7	   23.4
   48.0	  132.4	  -54.9	   82.4
   52.0	  274.0	  -67.5	   12.2
   53.0	  289.0	  -68.4	  113.2
   54.0	  290.2	  -68.5	   44.7
   55.0	  172.1	  -59.4	   35.8
   56.0	  110.6	  -51.8	   52.7
   58.0	  132.4	  -54.9	  130.3
   59.0	  141.1	  -56.0	   72.3
   61.0	  290.5	  -68.5	   25.2
   62.0	  155.8	  -57.7	   47.0
   63.0	  275.8	  -67.6	   50.5
   65.0	  169.9	  -59.2	   30.7
   67.0	  239.0	  -65.1	  120.6
   68.0	  263.5	  -66.8	  131.5
   72.0	  246.2	  -65.7	   75.0
   73.0	  244.4	  -65.5	   29.0
   74.0	  284.3	  -68.2	   73.8
   75.0	  101.4	  -50.2	  107.2
   76.0	  248.5	  -65.8	   45.1
   77.0	  105.6	  -51.0	   30.9
   78.0	  215.2	  -63.3	  100.1
   79.0	  252.5	  -66.1	   81.6
   80.0	  256.3	  -66.3	   28.5
   81.0	  234.5	  -64.8	   28.2
   82.0	  190.6	  -61.2	   29.8
   83.0	  104.8	  -50.8	   55.3
   84.0	  130.8	  -54.7	   63.3
   85.0	  274.9	  -67.6	   60.3
   86.0	  158.4	  -58.0	   26.4
