Nodes	Energy (mJ)
2.0	1954.3103866
3.0	1037.83396355
4.0	575.818511177
5.0	501.369875
6.0	1147.38670433
7.0	326.968888919
8.0	1447.61868148
9.0	46.6317497777
10.0	498.88390625
11.0	861.233865635
12.0	700.801940203
13.0	662.266114176
14.0	636.259956013
15.0	1697.87596206
16.0	674.822747667
17.0	615.263400063
18.0	44.2485396331
19.0	833.666563269
20.0	1997.57217785
21.0	1127.70051219
22.0	1481.77714365
23.0	63.0044218861
24.0	856.410064042
25.0	799.549886813
26.0	1401.38344225
27.0	573.087880919
28.0	1643.65943984
29.0	744.044574712
30.0	1796.63471993
31.0	123.070405174
32.0	83.2602284971
33.0	1572.83087186
34.0	1103.51123524
35.0	1070.32462848
36.0	1989.73878695
37.0	710.661998217
38.0	485.31272154
39.0	1491.19151671
40.0	1912.69506807
41.0	7.60645601342
42.0	1397.36816206
43.0	849.828092209
44.0	926.006035592
45.0	316.48330121
46.0	271.352256847
