Nodes	Energy (mJ)
2.0	535.802617461
3.0	1020.93405713
4.0	1334.7629651
5.0	501.369875
6.0	1827.06927007
7.0	514.272550912
8.0	266.327802247
9.0	1535.87148807
10.0	498.88390625
11.0	1653.87564051
12.0	957.584155077
13.0	244.850408177
14.0	1571.17593144
15.0	1956.2881901
16.0	1309.97526688
17.0	948.324644976
18.0	1381.4777369
19.0	1341.63221368
20.0	1051.13599976
21.0	309.52197108
22.0	205.821970164
23.0	1919.98722224
24.0	1106.33792292
25.0	604.542453795
26.0	1606.9740859
27.0	1138.15100218
28.0	580.508480132
29.0	935.672240845
30.0	1419.96570822
31.0	285.275494859
32.0	1571.59180982
33.0	713.457567423
34.0	1664.73859434
35.0	344.415870617
36.0	263.793451029
37.0	1203.91651531
38.0	334.551441734
39.0	91.5145636799
40.0	893.388628261
41.0	627.173480649
42.0	229.759303716
43.0	1691.13263711
44.0	326.629079157
45.0	708.247363436
46.0	691.096648701
47.0	60.4250426857
48.0	1515.7398292
49.0	1376.73676379
50.0	1537.17162648
51.0	1808.67364552
