Node	distance(m)	dbm	displacement
    1.0	   90.0	  -49.1	    0.0
    4.0	  119.0	  -53.0	   69.4
    6.0	  151.0	  -57.2	   23.3
    7.0	  159.7	  -58.1	   86.3
    9.0	  122.1	  -53.5	   42.1
   10.0	  140.8	  -55.9	  101.4
   11.0	  122.2	  -53.5	   57.5
   12.0	  123.8	  -53.7	  105.3
   13.0	  115.9	  -52.6	   42.1
   14.0	  250.4	  -65.9	   78.9
   15.0	  237.4	  -65.0	  100.5
   16.0	  269.0	  -67.2	  139.3
   18.0	  213.4	  -63.2	   80.3
   21.0	  298.3	  -69.0	   32.6
   22.0	  165.4	  -58.7	   84.2
   23.0	  271.7	  -67.4	   76.5
   24.0	  243.7	  -65.5	   17.2
   26.0	  258.0	  -66.5	   44.5
   27.0	  219.8	  -63.7	   77.9
   28.0	  262.9	  -66.8	  105.1
   29.0	  278.4	  -67.8	   67.4
   30.0	  241.4	  -65.3	   50.0
   33.0	  178.9	  -60.1	   65.8
   34.0	  267.4	  -67.1	   78.6
   36.0	  273.5	  -67.5	   21.6
   37.0	  143.5	  -56.3	   38.5
   39.0	  224.3	  -64.0	   33.8
   40.0	  294.2	  -68.7	   46.1
   41.0	  193.1	  -61.4	   34.1
   44.0	  268.5	  -67.2	   81.3
   46.0	  178.0	  -60.0	   57.1
   47.0	  150.7	  -57.1	   39.0
   48.0	  253.1	  -66.1	   52.5
   49.0	  211.1	  -63.0	   30.2
   50.0	  117.7	  -52.8	   45.4
   51.0	  299.6	  -69.1	   24.4
   53.0	  221.4	  -63.8	  139.1
   54.0	  168.8	  -59.1	    9.9
   55.0	  211.5	  -63.0	   72.2
   56.0	  115.1	  -52.4	   88.9
