Nodes	Energy (mJ)
2.0	1300.43358548
3.0	983.454274891
4.0	691.860701565
5.0	501.369875
6.0	684.517524621
7.0	745.442759569
8.0	512.374278298
9.0	1121.62876883
10.0	498.88390625
11.0	1405.44087126
12.0	620.509625857
13.0	1853.08026233
14.0	323.331897517
15.0	598.464355293
16.0	73.8022689582
17.0	1819.98567871
18.0	1285.08568918
19.0	1715.66929004
20.0	1536.0322349
21.0	1094.82109122
22.0	616.229090269
23.0	723.334401978
24.0	940.282597118
25.0	456.342218838
26.0	406.148003494
27.0	1016.38888873
28.0	683.159414567
29.0	43.5959076575
30.0	1738.88144476
31.0	1150.93425222
32.0	595.617910679
33.0	896.276944913
34.0	73.8752383983
35.0	1461.39030372
36.0	1746.18654726
37.0	351.073298003
38.0	1545.19453166
39.0	7.93296263434
40.0	103.134328404
41.0	1085.91773435
42.0	434.340312986
43.0	166.245455574
44.0	1390.04411247
45.0	1066.42877629
46.0	1577.50021114
47.0	888.952288862
48.0	1951.90175698
49.0	1945.21491116
50.0	1855.77213731
51.0	1812.66394649
52.0	305.267209931
53.0	129.177038072
54.0	1026.7908045
55.0	644.610998473
56.0	591.271902615
57.0	274.154725757
58.0	439.665658555
59.0	1667.13699507
60.0	929.904979459
61.0	1837.33762877
