Nodes	Energy (mJ)
2.0	1145.57213363
3.0	123.724264319
4.0	1728.77049184
5.0	501.369875
6.0	82.7790430981
7.0	177.419529187
8.0	1462.53126652
9.0	1151.28904631
10.0	498.88390625
11.0	608.802140095
12.0	1640.65276741
13.0	1238.28733287
14.0	659.917292541
15.0	340.943015633
16.0	353.139375244
17.0	1958.85018922
18.0	1031.89605899
19.0	1022.18135289
20.0	195.093467373
21.0	1799.01280273
22.0	95.5777992721
23.0	119.179055697
24.0	219.283683048
25.0	1755.03015157
26.0	866.387320927
27.0	1281.34214199
28.0	921.440017395
29.0	1375.8176647
30.0	730.365483221
31.0	943.80314135
32.0	1428.43348024
33.0	971.205181844
34.0	874.44042826
35.0	1382.815831
36.0	1362.840667
37.0	1242.18507491
38.0	481.468376281
39.0	708.660904068
40.0	825.872819502
41.0	1196.55558998
