Nodes	Energy (mJ)
2.0	1494.52923096
3.0	1774.74544247
4.0	33.7881204526
5.0	501.369875
6.0	280.573741873
7.0	1149.94518137
8.0	766.955279957
9.0	1494.9885109
10.0	498.88390625
11.0	1216.07850677
12.0	586.911498324
13.0	330.404067495
14.0	109.135970934
15.0	1423.04142239
16.0	562.614293478
17.0	1548.44783821
18.0	1874.02254882
19.0	1746.74219587
20.0	1501.18265944
21.0	77.0733507468
22.0	148.906976783
23.0	202.469948484
24.0	1733.5221609
25.0	235.989877827
26.0	1162.91481358
27.0	817.778224819
28.0	1224.3336292
29.0	1021.15462841
30.0	1687.32668872
31.0	1638.17528578
32.0	653.527263878
33.0	1677.08499151
34.0	557.388233413
35.0	1391.92097116
36.0	652.669074511
37.0	1288.11426865
38.0	1331.92814275
39.0	140.777246793
40.0	1833.52244936
41.0	1279.81244856
42.0	278.255966658
43.0	1277.59421967
44.0	1970.17847659
45.0	381.169562882
46.0	1712.06862582
47.0	1299.63538046
48.0	1664.82317383
49.0	1968.23291323
50.0	1290.0919666
51.0	751.416654706
52.0	698.428982871
53.0	25.2907348463
54.0	792.330611329
55.0	2000.80251005
56.0	1861.26357921
57.0	1071.42714671
58.0	1307.29289055
59.0	1449.49125047
60.0	1872.70244823
61.0	386.944807841
62.0	1356.43614423
63.0	952.407922728
64.0	1558.81818865
65.0	523.988257982
66.0	1348.53541899
67.0	652.755740603
68.0	1472.23123302
69.0	728.10753794
70.0	717.063311497
71.0	1526.58404973
