Node	distance(m)	dbm	displacement
    1.0	  180.2	  -60.2	    0.0
    2.0	  218.3	  -63.6	   57.0
    3.0	  112.1	  -52.0	    5.8
    4.0	  132.4	  -54.9	   22.4
    6.0	  253.4	  -66.1	  116.7
    7.0	  260.8	  -66.6	   85.3
    9.0	  113.2	  -52.1	   66.9
   10.0	  101.6	  -50.3	   58.7
   11.0	  299.8	  -69.1	  127.5
   12.0	  103.2	  -50.5	   15.9
   14.0	  285.4	  -68.2	   84.8
   15.0	  139.7	  -55.8	   51.7
   16.0	  138.8	  -55.7	    4.4
   17.0	  215.3	  -63.3	  103.9
   18.0	  224.2	  -64.0	   72.2
   19.0	  299.3	  -69.0	   75.5
   20.0	  247.6	  -65.7	   56.0
   23.0	  116.7	  -52.7	   81.2
   24.0	  151.0	  -57.2	   77.8
   25.0	  221.8	  -63.8	   54.5
   26.0	  253.5	  -66.2	   24.8
   27.0	  259.0	  -66.5	   42.6
   28.0	  265.0	  -66.9	   72.3
   29.0	  221.3	  -63.8	   44.6
   30.0	  279.8	  -67.9	   55.0
   32.0	  102.5	  -50.4	   56.7
   33.0	  132.9	  -54.9	   74.2
   34.0	  221.6	  -63.8	   58.1
   37.0	  183.3	  -60.5	   21.2
   40.0	  170.8	  -59.3	   75.9
   41.0	  258.1	  -66.5	  115.6
   43.0	  231.9	  -64.6	   33.0
   45.0	  163.9	  -58.6	  119.6
   46.0	  129.9	  -54.5	   95.8
   48.0	  247.7	  -65.8	   56.5
   49.0	  115.9	  -52.6	  140.3
   50.0	  298.1	  -69.0	   36.7
   51.0	  133.0	  -55.0	   58.7
