Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     218,       0,     244
       2,      16,       0,       1,       0,       0
       3,       0,      16,       0,       1,       0
       4,      16,       0,       0,       0,       1
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,       0,      16,       0,       1,       0
       8,      16,       0,       1,       0,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       0,       0,       1
      11,      16,       0,       1,       0,       0
      12,      16,       0,       0,       0,       1
      13,      16,       0,       0,       0,       1
      14,      16,       0,       0,       0,       1
      15,       0,      16,       0,       1,       0
      16,       0,      16,       0,       1,       0
      17,      16,       0,       1,       0,       0
      18,      16,       0,       1,       0,       0
      19,      16,       0,       1,       0,       0
      20,       0,      16,       0,       1,       0
      21,      16,       0,       1,       0,       0
      22,       0,      16,       0,       1,       0
      23,       0,      16,       0,       1,       0
      24,       0,      16,       0,       1,       0
      25,      16,       0,       0,       0,       1
      26,      16,       0,       0,       0,       1
      27,      16,       0,       1,       0,       0
      28,      16,       0,       0,       0,       1
      29,      16,       0,       0,       0,       1
      30,      16,       0,       1,       0,       0
      31,      16,       0,       1,       0,       0
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,      16,       0,       0,       0,       1
      36,      16,       0,       1,       0,       0
      37,      16,       0,       1,       0,       0
      38,       0,      16,       0,       1,       0
      39,      16,       0,       1,       0,       0
      40,      16,       0,       0,       0,       1
      41,      16,       0,       1,       0,       0
