Node	distance(m)	dbm	displacement
    1.0	  290.1	  -68.5	    0.0
    2.0	  175.6	  -59.8	    8.7
    3.0	  244.2	  -65.5	   44.9
    7.0	  157.7	  -57.9	   57.3
    8.0	  266.8	  -67.0	   49.8
    9.0	  263.3	  -66.8	   67.1
   10.0	  130.7	  -54.7	   89.0
   11.0	  201.5	  -62.2	   68.0
   12.0	  142.7	  -56.2	   46.5
   15.0	  189.6	  -61.1	   45.5
   16.0	  101.2	  -50.2	   79.7
   17.0	  279.1	  -67.8	   38.9
   18.0	  192.0	  -61.3	   79.1
   19.0	  292.9	  -68.7	  148.1
   20.0	  224.1	  -64.0	  110.5
   24.0	  180.5	  -60.3	   11.9
   26.0	  122.5	  -53.5	   53.0
   27.0	  212.4	  -63.1	   71.0
   28.0	  115.3	  -52.5	   15.5
   29.0	  257.0	  -66.4	   54.5
   30.0	  212.5	  -63.1	   61.5
   31.0	  239.6	  -65.2	   64.8
   32.0	  171.2	  -59.3	   92.6
   33.0	  176.9	  -59.9	   63.8
   34.0	  168.9	  -59.1	  145.8
   35.0	  213.7	  -63.2	  141.2
   36.0	  254.7	  -66.2	   75.1
   37.0	  172.3	  -59.5	   18.1
   38.0	  170.6	  -59.3	   23.0
   40.0	  187.7	  -60.9	  168.1
   41.0	  202.9	  -62.3	   88.7
   43.0	  233.7	  -64.7	   81.2
   44.0	  226.8	  -64.2	   34.3
   46.0	  177.8	  -60.0	   39.1
   47.0	  135.7	  -55.3	  103.8
   48.0	  147.4	  -56.7	   11.2
   49.0	  159.4	  -58.1	  109.0
   50.0	  296.9	  -68.9	  109.4
   51.0	  209.8	  -62.9	   68.6
   52.0	  165.2	  -58.7	   16.5
   54.0	  158.9	  -58.0	   34.3
   55.0	  231.2	  -64.6	   56.4
   56.0	  149.8	  -57.0	   40.0
   57.0	  262.2	  -66.7	   74.7
   58.0	  141.9	  -56.1	  128.5
   59.0	  191.3	  -61.3	  115.0
   60.0	  122.2	  -53.5	   53.7
   62.0	  198.1	  -61.9	   29.4
   63.0	  156.4	  -57.8	   35.8
   64.0	  244.7	  -65.5	   39.0
   65.0	  176.8	  -59.9	  124.5
   66.0	  113.0	  -52.1	   59.7
   67.0	  168.0	  -59.0	   39.5
   68.0	  198.3	  -61.9	   46.5
   69.0	  181.5	  -60.4	   93.9
   70.0	  177.4	  -60.0	   53.4
   71.0	  288.3	  -68.4	   46.2
