Nodes	Energy (mJ)
2.0	1310.93453111
3.0	283.541176498
4.0	181.15068066
5.0	501.369875
6.0	164.115162056
7.0	1517.01328394
8.0	873.624333386
9.0	1979.67021502
10.0	498.88390625
11.0	1799.24809558
12.0	806.998861838
13.0	510.759988007
14.0	1856.29092711
15.0	339.476961717
16.0	1188.82444814
17.0	727.591901439
18.0	1897.55986524
19.0	630.7750192
20.0	1321.05947226
21.0	961.971544639
22.0	782.238715885
23.0	1776.89037624
24.0	1373.36782956
25.0	823.206397194
26.0	1701.11826996
27.0	979.220061562
28.0	476.259945508
29.0	1496.8669553
30.0	1238.22767023
31.0	845.232483009
32.0	1177.30581651
33.0	1438.69726704
34.0	789.884488261
35.0	355.793468005
36.0	710.187167817
37.0	754.012404574
38.0	1181.01379532
39.0	620.340682261
40.0	1674.35702876
41.0	1746.82400109
42.0	525.124086006
43.0	569.868016893
44.0	958.340730783
45.0	139.848848032
46.0	1705.90858934
47.0	1028.17831365
48.0	1798.26352705
49.0	727.911553676
50.0	1399.07861916
51.0	298.949928459
52.0	1746.19355249
53.0	408.290002657
54.0	185.301255794
55.0	1788.77184926
56.0	535.279881146
57.0	707.303286578
58.0	1888.40671368
59.0	346.156259397
60.0	1396.69336672
61.0	793.934821315
62.0	1465.2045897
63.0	676.592758027
64.0	1431.26467178
65.0	1055.46002246
66.0	858.180831076
