Nodes	Energy (mJ)
2.0	961.141870694
3.0	677.579797141
4.0	1616.88935458
5.0	501.369875
6.0	1798.82689239
7.0	1722.08931044
8.0	1678.87356631
9.0	875.351217722
10.0	498.88390625
11.0	983.705204603
12.0	677.773038852
13.0	672.304086908
14.0	1133.62274815
15.0	253.207976555
16.0	127.542807794
17.0	1514.39348138
18.0	1792.79341903
19.0	767.684707454
20.0	1947.02212002
21.0	1948.71961334
22.0	773.244857244
23.0	97.6709689545
24.0	1628.57998215
25.0	1858.59428763
26.0	1050.76832281
27.0	681.020614534
28.0	238.066886829
29.0	1759.66804547
30.0	996.91089418
31.0	1516.11079926
